name,artists,release_date,genres,common_genre,duration,popularity,source_genre,lines_count,word_count,unique_words,stopwords_count,avg_word_length,chorus_count,verse_count,neg,neu,pos,compound
Cruel Summer,Taylor Swift,2019-08-23,['pop'],pop,178426,95,Pop,36,182,105,83,3.8736263736263736,2,1,0.122,0.716,0.162,-0.3676
Boy's a Liar Pt. 2,PinkPantheress,2023-02-03,['bedroom pop'],pop,131013,95,Pop,23,170,103,82,4.135294117647059,2,1,0.136,0.778,0.086,-0.9074
Getaway Car,Taylor Swift,2017-11-10,['pop'],pop,233626,87,Pop,26,181,107,95,4.038674033149171,1,1,0.144,0.82,0.036,-0.9536
Take Two,BTS,2023-06-09,"['k-pop', 'k-pop boy group', 'pop']",pop,229953,95,Pop,34,123,98,31,3.3089430894308944,1,1,0.015,0.936,0.049,0.5661
As It Was,Harry Styles,2022-05-20,['pop'],pop,167303,93,Pop,27,150,95,92,3.9133333333333336,2,1,0.026,0.886,0.087,0.8266
Moonlight,Kali Uchis,2023-03-03,['colombian pop'],pop,187723,88,Pop,28,208,80,76,3.9326923076923075,1,2,0.028,0.764,0.208,0.9903
Escapism.,RAYE,2023-02-03,"['uk contemporary r&b', 'uk pop']",r&b,272373,92,Pop,24,193,123,102,3.9274611398963732,1,0,0.17,0.777,0.053,-0.9729
Sun to Me,Zach Bryan,2022-05-20,"['classic oklahoma country', 'modern country pop']",country,163031,83,Pop,26,224,139,119,4.116071428571429,4,1,0.077,0.768,0.155,0.9725
Heartless (feat. Morgan Wallen),Diplo,2020-05-29,"['edm', 'electro house', 'moombahton', 'pop dance']",pop,169226,83,Pop,67,398,141,215,4.4798994974874375,1,2,0.277,0.666,0.057,-0.9988
august,Taylor Swift,2020-07-24,['pop'],pop,261922,88,Pop,24,138,69,63,4.144927536231884,2,2,0.043,0.907,0.05,0.2406
Never Felt So Alone,Labrinth,2023-04-07,"['indie poptimism', 'pop']",indie,160166,87,Pop,53,194,83,52,4.06701030927835,1,2,0.229,0.737,0.034,-0.9852
The Man,Taylor Swift,2019-08-23,['pop'],pop,190360,87,Pop,24,180,113,107,3.8,2,1,0.062,0.811,0.127,0.7927
The Hills,The Weeknd,2015-08-28,"['canadian contemporary r&b', 'canadian pop', 'pop']",pop,242253,89,Pop,24,161,85,91,3.981366459627329,1,1,0.132,0.717,0.151,-0.3182
Party In The U.S.A.,Miley Cyrus,2009-01-01,['pop'],pop,202066,80,Pop,25,154,98,79,3.9415584415584415,1,1,0.054,0.77,0.177,0.9522
good 4 u,Olivia Rodrigo,2021-05-21,['pop'],pop,178146,88,Pop,30,229,129,123,3.938864628820961,2,1,0.052,0.734,0.214,0.9882
Attention,Doja Cat,2023-06-16,"['dance pop', 'pop']",pop,277043,85,Pop,73,609,259,309,4.192118226600985,2,3,0.129,0.696,0.175,0.9772
Call Out My Name,The Weeknd,2018-03-30,"['canadian contemporary r&b', 'canadian pop', 'pop']",pop,228373,89,Pop,28,190,104,102,3.5736842105263156,2,1,0.079,0.738,0.183,0.9702
I Was Never There,The Weeknd,2018-03-30,"['canadian contemporary r&b', 'canadian pop', 'pop']",pop,241066,90,Pop,38,196,66,90,4.081632653061225,1,1,0.158,0.757,0.085,-0.5417
Midnight Rain,Taylor Swift,2022-10-21,['pop'],pop,174782,87,Pop,31,169,95,81,4.2485207100591715,2,1,0.051,0.659,0.29,0.9945
Fair Trade (with Travis Scott),Drake,2021-09-03,"['canadian hip-hop', 'canadian pop', 'hip-hop', 'rap', 'toronto rap']",hip-hop,291175,87,Pop,149,1001,435,469,4.066933066933067,2,2,0.102,0.72,0.178,0.9978
Dandelions,Ruth B.,2017-05-05,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",pop,233720,92,Pop,22,164,86,88,3.9695121951219514,2,1,0.037,0.68,0.283,0.9953
Look What You Made Me Do,Taylor Swift,2017-11-10,['pop'],pop,211853,86,Pop,23,155,72,92,3.567741935483871,1,1,0.164,0.787,0.049,-0.9117
SLOW DANCING IN THE DARK,Joji,2018-10-26,['viral pop'],pop,209273,85,Pop,35,164,103,84,3.7865853658536586,2,1,0.045,0.835,0.12,0.9399
Stargirl Interlude,The Weeknd,2016-11-24,"['canadian contemporary r&b', 'canadian pop', 'pop']",pop,111626,86,Pop,15,129,52,70,3.89922480620155,1,0,0.171,0.677,0.151,-0.864
Shivers,Ed Sheeran,2021-10-29,"['pop', 'uk pop']",pop,207853,89,Pop,48,373,122,181,3.9571045576407506,2,2,0.021,0.789,0.19,0.9962
Someone You Loved,Lewis Capaldi,2019-05-17,"['pop', 'uk pop']",pop,182160,90,Pop,24,206,88,117,3.8640776699029127,2,2,0.103,0.765,0.132,0.8295
One Dance,Drake,2016-05-06,"['canadian hip-hop', 'canadian pop', 'hip-hop', 'rap', 'toronto rap']",hip-hop,173986,89,Pop,22,118,67,46,3.7033898305084745,1,1,0.064,0.751,0.185,0.9401
Yellow,Coldplay,2000-07-10,"['permanent wave', 'pop']",pop,266773,93,Pop,43,198,88,91,3.6363636363636362,2,2,0.0,0.836,0.164,0.9843
S-Class,Stray Kids,2023-06-02,"['k-pop', 'k-pop boy group', 'pop']",pop,195688,88,Pop,44,160,116,31,3.40625,1,1,0.0,0.872,0.128,0.964
Promiscuous,Nelly Furtado,2006-01-01,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",pop,242293,86,Pop,40,242,149,125,3.909090909090909,1,1,0.096,0.751,0.153,0.9364
Tennessee Orange,Megan Moroney,2023-05-05,['modern country pop'],country,223119,80,Pop,27,190,101,93,4.026315789473684,2,2,0.058,0.829,0.114,0.8157
YKWIM?,Yot Club,2019-05-31,['bedroom pop'],pop,212750,84,Pop,21,109,51,56,3.5596330275229358,3,0,0.23,0.635,0.135,-0.7202
That's What I Like,Bruno Mars,2016-11-17,"['dance pop', 'pop']",pop,206693,87,Pop,32,207,109,112,3.8840579710144927,1,1,0.063,0.732,0.205,0.9783
Baby Don't Hurt Me,David Guetta,2023-04-06,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",pop,140017,93,Pop,25,120,77,59,4.1,1,1,0.057,0.621,0.322,0.9891
Bejeweled,Taylor Swift,2022-10-21,['pop'],pop,194165,85,Pop,27,185,125,93,3.983783783783784,2,1,0.032,0.845,0.123,0.9066
Dancin’ In The Country,Tyler Hubbard,2023-01-27,"['contemporary country', 'modern country pop']",country,179640,80,Pop,29,169,112,81,4.005917159763314,2,1,0.073,0.819,0.107,0.6546
Dawns (feat. Maggie Rogers),Zach Bryan,2023-01-27,"['classic oklahoma country', 'modern country pop']",country,290892,81,Pop,95,448,165,200,3.7924107142857144,3,0,0.147,0.829,0.024,-0.9941
Save Your Tears,The Weeknd,2020-03-20,"['canadian contemporary r&b', 'canadian pop', 'pop']",pop,215626,90,Pop,22,120,74,59,3.9166666666666665,2,0,0.15,0.714,0.136,-0.4159
Our Song,Taylor Swift,2006-10-24,['pop'],pop,201106,78,Pop,28,180,128,94,3.9444444444444446,2,1,0.043,0.9,0.057,0.3544
We Found Love,Rihanna,2011-11-18,"['barbadian pop', 'pop', 'urban contemporary']",pop,215226,86,Pop,23,145,93,65,4.324137931034483,1,1,0.161,0.623,0.216,0.8776
Needed Me,Rihanna,2016-01-28,"['barbadian pop', 'pop', 'urban contemporary']",pop,191600,84,Pop,25,154,98,80,3.8376623376623376,1,1,0.215,0.729,0.056,-0.9836
Heartless,The Weeknd,2020-03-20,"['canadian contemporary r&b', 'canadian pop', 'pop']",pop,198266,87,Pop,43,236,143,95,4.343220338983051,2,1,0.202,0.709,0.09,-0.9896
Hips Don't Lie (feat. Wyclef Jean),Shakira,2005-11-28,"['colombian pop', 'dance pop', 'latin pop', 'pop']",pop,218093,88,Pop,167,768,276,252,4.013020833333333,3,2,0.095,0.788,0.117,0.9783
Classic,MKTO,2012,"['pop', 'post-teen pop']",pop,175426,84,Pop,33,156,103,57,4.012820512820513,1,1,0.045,0.674,0.281,0.989
Satellite,Harry Styles,2022-05-20,['pop'],pop,218577,88,Pop,21,112,66,60,3.9107142857142856,2,1,0.078,0.902,0.02,-0.7476
Set Fire to the Rain,Adele,2011-01-24,"['british soul', 'pop', 'pop soul', 'uk pop']",pop,242973,84,Pop,23,127,89,66,3.8976377952755907,1,1,0.112,0.726,0.162,0.7446
Wake Me Up,Avicii,2013-01-01,"['edm', 'pop', 'pop dance']",pop,247426,89,Pop,28,177,100,104,3.774011299435028,2,1,0.018,0.76,0.221,0.9894
Ghost,Justin Bieber,2021-03-19,"['canadian pop', 'pop']",pop,153190,89,Pop,24,182,75,107,4.043956043956044,2,2,0.089,0.811,0.1,0.8402
Love On The Brain,Rihanna,2016-01-28,"['barbadian pop', 'pop', 'urban contemporary']",pop,224000,87,Pop,40,198,107,95,3.580808080808081,1,1,0.102,0.597,0.3,0.9941
Jealous,Eyedress,2019-12-06,['noise pop'],pop,122338,85,Pop,23,105,61,67,4.133333333333334,1,1,0.098,0.83,0.072,-0.5848
You Need To Calm Down,Taylor Swift,2019-08-23,['pop'],pop,171360,84,Pop,24,183,108,97,4.180327868852459,2,1,0.062,0.732,0.206,0.9849
Angels Like You,Miley Cyrus,2020-11-27,['pop'],pop,196453,94,Pop,29,160,112,76,4.20625,2,1,0.069,0.732,0.2,0.9758
