artists,genres,release_date,name,popularity,uri,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
PinkPantheress,['bedroom pop'],2023-02-03,Boy's a Liar Pt. 2,95,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,131013,0.696,0.809,5,-8.254,0.05,0.252,0.000128,0.248,0.857,132.962
Taylor Swift,['pop'],2019-08-23,Cruel Summer,95,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,178426,0.552,0.702,9,-5.707,0.157,0.117,2.06e-05,0.105,0.564,169.994
FIFTY FIFTY,['k-pop girl group'],2023-02-24,Cupid - Twin Ver.,99,spotify:track:7FbrGaHYVDmfr7KoLIZnQ7,174253,0.783,0.592,11,-8.332,0.0331,0.435,4.15e-06,0.347,0.726,120.018
Taylor Swift,['pop'],2022-10-21,Anti-Hero,95,spotify:track:0V3wPSX9ygBnCm8psDIegu,200690,0.637,0.643,4,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,97.008
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",2023-04-07,Search & Rescue,91,spotify:track:7aRCf5cLOFN1U7kvtChY1G,272112,0.817,0.44,10,-8.482,0.0734,0.0603,1.42e-06,0.33,0.544,142.024
SZA,"['pop', 'r&b', 'rap']",2022-12-08,Kill Bill,94,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,153946,0.644,0.735,8,-5.747,0.0391,0.0521,0.144,0.161,0.418,88.98
Miley Cyrus,['pop'],2023-01-13,Flowers,97,spotify:track:0yLdNVWF3Srea0uzk55zFn,200454,0.707,0.681,0,-4.325,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999
Zach Bryan,"['classic oklahoma country', 'modern country pop']",2022-04-22,Something in the Orange,89,spotify:track:3WMj8moIAXJhHsyLaqIIHI,228013,0.369,0.192,4,-12.151,0.04,0.555,8.35e-06,0.0954,0.148,175.212
SZA,"['pop', 'r&b', 'rap']",2022-12-09,Snooze,92,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,201800,0.559,0.551,5,-7.231,0.132,0.141,0,0.11,0.392,143.008
Rema,"['afrobeats', 'nigerian pop']",2022-08-25,Calm Down (with Selena Gomez),95,spotify:track:0WtM2NBVQNNJLh6scP13H8,239317,0.801,0.806,11,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.999
d4vd,"['bedroom pop', 'bedroom r&b']",2022-07-20,Romantic Homicide,91,spotify:track:1xK59OXxi2TAAAbmZK0kBL,132630,0.571,0.544,6,-10.613,0.0299,0.453,0.00805,0.322,0.216,132.052
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",2022-11-04,Rich Flex,90,spotify:track:1bDbXMyjaUIooNwFE9wn0N,239359,0.561,0.52,11,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,153.15
Taylor Swift,['pop'],2017-11-10,Don’t Blame Me,91,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,236413,0.615,0.534,9,-6.719,0.0386,0.106,1.76e-05,0.0607,0.193,135.917
OneRepublic,"['piano rock', 'pop']",2022-05-13,I Ain't Worried,94,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,148485,0.704,0.797,0,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994
Taylor Swift,['pop'],2022-10-21,Karma,89,spotify:track:7KokYm8cMIXCsGVmUvKtqf,204852,0.642,0.62,8,-7.091,0.0666,0.0734,0,0.483,0.0969,90.02
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",2022-06-17,Jimmy Cooks (feat. 21 Savage),90,spotify:track:3F5CgOj3wFlRv51JsHbxhe,218364,0.529,0.673,0,-4.711,0.175,0.000307,2.41e-06,0.093,0.366,165.921
SZA,"['pop', 'r&b', 'rap']",2022-12-09,Kill Bill,91,spotify:track:3OHfY25tqY28d16oZczHc8,153946,0.644,0.728,8,-5.75,0.0351,0.0543,0.169,0.161,0.43,88.993
Becky G,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'urbano latino']",2023-03-30,Chanel,92,spotify:track:5RcxRGvmYai7kpFSfxe5GY,201993,0.852,0.675,2,-5.738,0.0363,0.397,0.00317,0.0905,0.528,132.005
